Bureau of Justice Statistics,,,,,,,,,,,
Filename: p08at02.csv,,,,,,,,,,,
"Appendix table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 2: Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
,,Number of prisoners,,,,,,,,,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,"Average annual change, 2000-2007",,"Percent change, 2007-2008",
U.S. total,,"1,391,261",,"1,598,245",,"1,610,446",,2,%,0.8,%
,Federal,"145,416",,"199,618",,"201,280",,4.6,,0.8,
,State,"1,245,845",,"1,398,627",,"1,409,166",,1.7,,0.8,
Northeast,,"174,826",,"179,030",,"179,776",,0.3,%,0.4,%
,Connecticut/a,"18,355",,"20,924",,"20,661",,1.9,,-1.3,
,Maine,"1,679",,"2,148",,"2,195",,3.6,,2.2,
,Massachusetts,"10,722",,"11,436",,"11,408",,0.9,,-0.2,
,New Hampshire,"2,257",,"2,943",,"2,904",,3.9,,-1.3,
,New Jersey,"29,784",,"26,827",,"25,953",,-1.5,,-3.3,
,New York,"70,199",,"62,620",,"60,347",,-1.6,,-3.6,
,Pennsylvania,"36,847",,"45,969",,"50,147",,3.2,,9.1,
,Rhode Island/a,"3,286",,"4,018",,"4,045",,2.9,,0.7,
,Vermont/a,"1,697",,"2,145",,"2,116",,3.4,,-1.4,
Midwest,,"237,378",,"263,039",,"263,811",,1.5,%,0.3,%
,Illinois,"45,281",,"45,215",,"45,474",,0,,0.6,
,Indiana,"20,125",,"27,132",,"28,322",,4.4,,4.4,
,Iowa/b,"7,955",,"8,732",,"8,766",,1.3,,0.4,
,Kansas,"8,344",,"8,696",,"8,539",,0.6,,-1.8,
,Michigan,"47,718",,"50,233",,"48,738",,0.7,,-3,
,Minnesota,"6,238",,"9,468",,"9,406",,6.1,,-0.7,
,Missouri,"27,543",,"29,857",,"30,186",,1.2,,1.1,
,Nebraska,"3,895",,"4,505",,"4,520",,2.1,,0.3,
,North Dakota,"1,076",,"1,416",,"1,452",,4,,2.5,
,Ohio,"45,833",,"50,731",,"51,686",,1.5,,1.9,
,South Dakota,"2,616",,"3,311",,"3,342",,3.4,,0.9,
,Wisconsin,"20,754",,"23,743",,"23,380",,1.9,,-1.5,
South,,"561,214",,"639,578",,"647,312",,1.9,%,1.2,%
,Alabama,"26,332",,"29,412",,"30,508",,1.6,,3.7,
,Arkansas,"11,915",,"14,314",,"14,716",,2.7,,2.8,
,Delaware/a,"6,921",,"7,276",,"7,075",,0.7,,-2.8,
,District of Columbia,"7,456",,~,,~,,:,,:,
,Florida,"71,319",,"98,219",,"102,388",,4.7,,4.2,
,Georgia/b,"44,232",,"54,256",,"52,719",,3,,-2.8,
,Kentucky,"14,919",,"22,457",,"21,706",,6,,-3.3,
,Louisiana,"35,207",,"37,540",,"38,381",,0.9,,2.2,
,Maryland,"23,538",,"23,433",,"23,324",,-0.1,,-0.5,
,Mississippi,"20,241",,"22,431",,"22,754",,1.5,,1.4,
,North Carolina,"31,266",,"37,970",,"39,482",,2.8,,4,
,Oklahoma,"23,181",,"25,849",,"25,864",,1.6,,0.1,
,South Carolina,"21,778",,"24,239",,"24,326",,1.5,,0.4,
,Tennessee,"22,166",,"26,267",,"27,228",,2.5,,3.7,
,Texas,"166,719",,"171,790",,"172,506",,0.4,,0.4,
,Virginia,"30,168",,"38,069",,"38,276",,3.4,,0.5,
,West Virginia,"3,856",,"6,056",,"6,059",,6.7,,0,
West,,"272,427",,"316,980",,"318,267",,2.2,%,0.4,%
,Alaska/a,"4,173",,"5,167",,"5,014",,3.1,,-3,
,Arizona/b,"26,510",,"37,746",,"39,589",,5.2,,4.9,
,California,"163,001",,"174,282",,"173,670",,1,,-0.4,
,Colorado,"16,833",,"22,841",,"23,274",,4.5,,1.9,
,Hawaii/a,"5,053",,"5,978",,"5,955",,2.4,,-0.4,
,Idaho,"5,535",,"7,319",,"7,290",,4.1,,-0.4,
,Montana,"3,105",,"3,462",,"3,607",,1.6,,4.2,
,Nevada/c,"10,063",,"13,400",,"12,743",,:,,:,
,New Mexico,"5,342",,"6,466",,"6,402",,2.8,,-1,
,Oregon,"10,580",,"13,948",,"14,167",,4,,1.6,
,Utah,"5,637",,"6,515",,"6,546",,2.1,,0.5,
,Washington,"14,915",,"17,772",,"17,926",,2.5,,0.9,
,Wyoming,"1,680",,"2,084",,"2,084",,3.1,,0,
"~Not applicable. After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,,,
:Not calculated.,,,,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,
b/Prison population based on custody counts.,,,,,,,,,,,
"c/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,,,
