Bureau of Justice Statistics,,,,,,,,,,,
Filename: p08at09.csv,,,,,,,,,,,
"Appendix table 9. Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 9: Sentenced female prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
,,Number of sentenced female prisoners,,,,,,,,,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,Average annual change 2000-2007,,"Percent change, 2007-2008",
U.S. total,,"85,044",,"105,786",,"105,252",,3.2,%,-0.5,%
,Federal,"8,397",,"11,528",,"11,578",,4.6,,0.4,
,State,"76,647",,"94,258",,"93,674",,3,,-0.6,
Northeast,,"7,817",,"8,304",,"8,336",,0.9,%,0.4,%
,Connecticut/a,790,,816,,803,,0.5,,-1.6,
,Maine,62,,119,,129,,9.8,,8.4,
,Massachusetts,229,,434,,442,,9.6,,1.8,
,New Hampshire,120,,197,,234,,7.3,,18.8,
,New Jersey/b,"1,650",,"1,410",,"1,299",,-2.2,,-7.9,
,New York,"3,280",,"2,692",,"2,547",,-2.8,,-5.4,
,Pennsylvania,"1,578",,"2,422",,"2,701",,6.3,,11.5,
,Rhode Island/a,64,,114,,104,,8.6,,-8.8,
,Vermont/a,44,,100,,77,,12.4,,-23,
Midwest,,"14,556",,"17,776",,"17,575",,2.9,%,-1.1,%
,Illinois,"2,849",,"2,824",,"2,721",,-0.1,,-3.6,
,Indiana,"1,447",,"2,295",,"2,493",,6.8,,8.6,
,"Iowa/b,c",592,,717,,749,,2.8,,4.5,
,Kansas,504,,625,,569,,3.1,,-9,
,Michigan,"2,131",,"2,080",,"1,957",,-0.3,,-5.9,
,Minnesota,368,,602,,628,,7.3,,4.3,
,Missouri,"1,988",,"2,518",,"2,446",,3.4,,-2.9,
,Nebraska,256,,366,,376,,5.2,,2.7,
,North Dakota,54,,147,,160,,15.4,,8.8,
,Ohio,"2,808",,"3,822",,"3,913",,4.5,,2.4,
,South Dakota,200,,369,,354,,9.1,,-4.1,
,Wisconsin,"1,359",,"1,411",,"1,209",,0.5,,-14.3,
South,,"35,972",,"44,407",,"44,050",,3.1,%,-0.8,%
,Alabama,"1,790",,"2,030",,"2,127",,1.8,,4.8,
,Arkansas,767,,"1,066",,"1,054",,4.8,,-1.1,
,Delaware/a,245,,212,,205,,-2,,-3.3,
,District of Columbia,84,,~,,~,,:,,:,
,Florida,"4,105",,"6,854",,"7,151",,7.6,,4.3,
,Georgia/c,"2,751",,"3,545",,"3,691",,3.7,,4.1,
,Kentucky,"1,061",,"2,323",,"2,153",,11.8,,-7.3,
,Louisiana,"2,219",,"2,451",,"2,480",,1.4,,1.2,
,Maryland,"1,061",,"1,140",,972,,1,,-14.7,
,Mississippi,"1,530",,"1,835",,"1,843",,2.6,,0.4,
,North Carolina,"1,389",,"1,901",,"2,011",,4.6,,5.8,
,Oklahoma,"2,394",,"2,411",,"2,449",,0.1,,1.6,
,South Carolina,"1,301",,"1,456",,"1,461",,1.6,,0.3,
,Tennessee,"1,369",,"1,923",,"2,129",,5,,10.7,
,Texas,"11,634",,"11,700",,"10,717",,0.1,,-8.4,
,Virginia,"1,985",,"2,929",,"2,967",,5.7,,1.3,
,West Virginia,287,,631,,640,,11.9,,1.4,
West,,"18,302",,"23,771",,"23,713",,3.8,%,-0.2,%
,Alaska/a,97,,272,,262,,15.9,,-3.7,
,Arizona/c,"1,789",,"3,113",,"3,314",,8.2,,6.5,
,California,"10,597",,"11,305",,"11,363",,0.9,,0.5,
,Colorado,"1,333",,"2,335",,"2,294",,8.3,,-1.8,
,Hawaii/a,378,,504,,475,,4.2,,-5.8,
,Idaho,493,,800,,758,,7.2,,-5.3,
,Montana,306,,298,,361,,-0.4,,21.1,
,Nevada/d,846,,"1,177",,982,,:,,:,
,New Mexico,344,,539,,568,,6.6,,5.4,
,Oregon,594,,"1,058",,"1,105",,8.6,,4.4,
,Utah,361,,616,,619,,7.9,,0.5,
,Washington,"1,008",,"1,508",,"1,404",,5.9,,-6.9,
,Wyoming,156,,246,,208,,6.7,,-15.4,
Note: Totals based on prisoners with a sentence of more than 1 year.,,,,,,,,,,,
~Not applicable. After 2001the responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons. ,,,,,,,,,,,
:Not calculated,,,,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations. ,,,,,,,,,,,
b/Includes some prisoners sentenced to 1 year or less. ,,,,,,,,,,,
c/Prison population based on custody counts. ,,,,,,,,,,,
"d/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,,,
