Bureau of Justice Statistics,,,,,,,,,,,
Filename: p08at03.csv,,,,,,,,,,,
"Appendix table 3. Male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
Report title: Prisoners in 2008 NCJ 228417,,,,,,,,,,,
"Data source: National Prisoner Statistics, 1b",,,,,,,,,,,
"Authors: William J. Sabol, Ph.D., Heather C. West, Ph.D., and Matthew Cooper",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,
"Date of version: December 8, 2009",,,,,,,,,,,
,,,,,,,,,,,
"Appendix table 3: Male prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction, December 31, 2000, 2007 and 2008",,,,,,,,,,,
,,Number of male prisoners,,,,,,,,,
Region and jurisdiction,,12/31/2000,,12/31/2007,,12/31/2008,,"Average annual change, 2000-2007",,Percent change 2007-2008,
U.S. total,,"1,298,027",,"1,483,740",,"1,495,594",,1.9,%,0.8,%
,Federal,"135,171",,"186,280",,"188,007",,4.7,,0.9,
,State,"1,162,856",,"1,297,460",,"1,307,587",,1.6,,0.8,
Northeast,,"165,744",,"169,336",,"169,932",,0.3,%,0.4,%
,Connecticut/a,"16,949",,"19,428",,"19,159",,2,,-1.4,
,Maine,"1,613",,"2,009",,"2,039",,3.2,,1.5,
,Massachusetts,"10,059",,"10,646",,"10,657",,0.8,,0.1,
,New Hampshire,"2,137",,"2,741",,"2,670",,3.6,,-2.6,
,New Jersey,"28,134",,"25,417",,"24,654",,-1.4,,-3,
,New York,"66,919",,"59,866",,"57,760",,-1.6,,-3.5,
,Pennsylvania,"35,268",,"43,506",,"47,193",,3,,8.5,
,Rhode Island/a,"3,048",,"3,736",,"3,802",,3,,1.8,
,Vermont/a,"1,617",,"1,987",,"1,998",,3,,0.6,
Midwest,,"222,780",,"245,110",,"246,070",,1.4,%,0.4,%
,Illinois,"42,432",,"42,391",,"42,753",,0,,0.9,
,Indiana,"18,673",,"24,837",,"25,829",,4.2,,4,
,Iowa/b,"7,363",,"8,015",,"8,017",,1.2,,0,
,Kansas,"7,840",,"8,071",,"7,970",,0.4,,-1.3,
,Michigan,"45,587",,"48,153",,"46,781",,0.8,,-2.8,
,Minnesota,"5,870",,"8,866",,"8,778",,6.1,,-1,
,Missouri,"25,550",,"27,335",,"27,737",,1,,1.5,
,Nebraska,"3,629",,"4,106",,"4,130",,1.8,,0.6,
,North Dakota,"1,008",,"1,269",,"1,292",,3.3,,1.8,
,Ohio,"43,025",,"46,909",,"47,773",,1.2,,1.8,
,South Dakota,"2,416",,"2,942",,"2,987",,2.9,,1.5,
,Wisconsin,"19,387",,"22,216",,"22,023",,2,,-0.9,
South,,"521,562",,"591,075",,"598,262",,1.8,%,1.2,%
,Alabama,"24,506",,"27,254",,"28,277",,1.5,,3.8,
,Arkansas,"11,143",,"13,248",,"13,656",,2.5,,3.1,
,Delaware/a,"6,324",,"6,699",,"6,518",,0.8,,-2.7,
,District of Columbia,"7,100",,~,,~,,:,,:,
,Florida,"67,214",,"91,365",,"95,237",,4.5,,4.2,
,Georgia/b,"41,474",,"50,711",,"49,027",,2.9,,-3.3,
,Kentucky,"13,858",,"20,016",,"19,436",,5.4,,-2.9,
,Louisiana,"32,988",,"35,082",,"35,865",,0.9,,2.2,
,Maryland,"22,319",,"22,249",,"22,264",,0,,0.1,
,Mississippi,"18,572",,"20,469",,"20,773",,1.4,,1.5,
,North Carolina,"29,363",,"35,344",,"36,704",,2.7,,3.8,
,Oklahoma,"20,787",,"23,242",,"23,340",,1.6,,0.4,
,South Carolina,"20,358",,"22,635",,"22,693",,1.5,,0.3,
,Tennessee,"20,797",,"24,344",,"25,099",,2.3,,3.1,
,Texas,"153,097",,"157,859",,"158,653",,0.4,,0.5,
,Virginia,"28,109",,"35,136",,"35,309",,3.2,,0.5,
,West Virginia,"3,553",,"5,422",,"5,411",,6.2,,-0.2,
West,,"252,770",,"291,939",,"293,323",,2.1,%,0.5,%
,Alaska/a,"3,889",,"4,603",,"4,511",,2.4,,-2,
,Arizona/b,"24,546",,"34,286",,"35,823",,4.9,,4.5,
,California,"151,840",,"162,654",,"162,050",,1,,-0.4,
,Colorado,"15,500",,"20,506",,"20,980",,4.1,,2.3,
,Hawaii/a,"4,492",,"5,232",,"5,227",,2.2,,-0.1,
,Idaho,"5,042",,"6,519",,"6,532",,3.7,,0.2,
,Montana,"2,799",,"3,161",,"3,244",,1.8,,2.6,
,Nevada/c,"9,217",,"12,221",,"11,761",,:,,:,
,New Mexico,"4,831",,"5,890",,"5,833",,2.9,,-1,
,Oregon,"9,984",,"12,888",,"13,058",,3.7,,1.3,
,Utah,"5,256",,"5,883",,"5,906",,1.6,,0.4,
,Washington,"13,850",,"16,258",,"16,522",,2.3,,1.6,
,Wyoming,"1,524",,"1,838",,"1,876",,2.7,,2.1,
"~Not applicable. After 2001, responsibility for sentenced felons from the District of Columbia was transferred to the Federal Bureau of Prisons.",,,,,,,,,,,
a/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,
b/Prison population based on custody counts. ,,,,,,,,,,,
"c/Includes estimates for Nevada for December 31, 2007. See Methodology.",,,,,,,,,,,
