"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0018.csv",,,,,,,,,
"Table #18:  Partitioning the total growth of sentenced prisoners ",,,,,,,,,
"under State jurisdiction, by offense, race, and Hispanic origin, 1990-99",,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 18.  Partitioning the total growth of sentenced prisoners under State ",,,,,,,,,
"jurisdiction, by offense, race, and Hispanic origin, 1990-99",,,,,,,,,
,,,,,,,,,
,"         White",,,"          Black ",,,"        Hispanic",,
,"Increase,","Percent",,"Increase,","Percent",,"Increase,","Percent",
," 1990-99","of total",," 1990-99","of total",," 1990-99","of total",
"   Total",152700,100,"%",238400,100,"%",86800,100,"%"
,,,,,,,,,
"Violent",71700,47,,120200,50,,50100,58,
"Property",28700,19,,27600,12,,9900,11,
"Drug ",21100,14,,64900,27,,13400,15,
"Public-order ",31800,21,,25500,11,,13000,15,
