"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0017.csv",,,,,,,,,
"Table #17:  Partitioning the total growth of sentenced prisoners ",,,,,,,,,
"under State jurisdiction, by offense and gender, 1990-99",,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 17.  Partitioning the total growth of sentenced prisoners",,,,,,,,,
"under State jurisdiction, by offense and gender, 1990-99",,,,,,,,,
,,,,,,,,,
,"                  Total",,,"             Male ",,,"             Female",,
,"Increase,","Percent ",,"Increase, ","Percent ",,"Increase, ","Percent",
," 1990-99","of total",," 1990-99","of total",," 1990-99","of total",
"   Total",500200,100,"%",462600,100,"%",37700,100,"%"
,,,,,,,,,
"Violent",254100,51,,243600,53,,10500,28,
"Property",70000,14,,62100,13,,7900,21,
"Drug ",101500,20,,88200,19,,13300,35,
"Public-order ",74800,15,,68900,15,,5900,16,
