"Bureau of Justice Statistics",,,,,,,,,
"Filename:  p0015.csv",,,,,,,,,
"Table #15:  Number of sentenced prisoners under State or Federal jurisdiction per",,,,,,,,,
"100,000 residents, by gender, race, Hispanic origin, and age, 2000",,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,
,,,,,,,,,
"Table 15.  Number of sentenced prisoners under State or Federal jurisdiction ",,,,,,,,,
"per 100,000 residents, by gender, race, Hispanic origin, and age, 2000",,,,,,,,,
,,,,,,,,,
,,,"Number of sentenced prisoners per 100,000 residents of each group",,,,,,
,,"         Males",,,,,"     Females",,
"Age","Total/a","White/b","Black/b","Hispanic",,"Total/a","White/b","Black/b","Hispanic"
,,,,,,,,,
"Total",904,449,3457,1220,,59,34,205,60
"18-19",785,302,2679,1058,,29,23,83,21
"20-24",2045,886,7276,2503,,83,55,216,86
"25-29",2520,1108,9749,2890,,159,88,486,148
"30-34",2355,1219,8690,2740,,210,125,722,169
"35-39",1889,995,7511,2134,,162,96,573,147
"40-44",1316,697,4955,2088,,89,49,331,96
"45-54",707,428,2699,1144,,44,27,143,69
"55 or older",164,112,540,401,,6,5,21,9
,,,,,,,,,
"Note: Based on estimates of the U.S. resident population on July 1, 2000, ",,,,,," ",,,
"and adjusted for the 1990 census undercount. ",,,,,,,,,
"a/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, ",,,,,,,,,
"and other Pacific Islanders. ",,,,,,,,,
"b/Excludes Hispanics.",,,,,,,,,
