"Bureau of Justice Statistics",,,,,
"Filename:  p0012.csv",,,,,
"Table #12:  Prisoners under military jurisdiction, by branch of service, yearend 1999 and 2000",,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,
"Data source:  National Prisoner Statistics-1",,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,
"Date of version:  8/8/01",,,,,
,,,,,
"Table 12.  Prisoners under military jurisdiction, by  branch of service, yearend 1999 and 2000",,,,,
,,,,,
,,,,"Percent",
"Branch of ","                Number",,,"change,",
"service ",2000,1999,," 1999-00",
,,,,,
"To which",,,,,
"prisoners belonged",,,,,
"    Total ",2420,2279,,6.2,"%"
"Air Force",413,409,,1.0,
"Army",789,761,,3.7,
"Marine Corps",730,565,,29.2,
"Navy",474,523,,-9.4,
"Coast Guard",14,21,,-33.3,
,,,,,
"Holding ",,,,,
"prisoners",,,,,
"    Total ",2420,2279,,6.2,"%"
"Air Force",102,92,,10.9,
"Army",994,1026,,-3.1,
"Marine Corps",563,480,,17.3,
"Navy",761,681,,11.7,
