"Bureau of Justice Statistics",,,,,,,,,,,,,
"Filename:  p0009.csv",,,,,,,,,,,,,
"Table #9:  Reported Federal and State prison capacities, yearend 2000",,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 9. Reported Federal and State prison capacities, yearend 2000",,,,,,,,,,,,,
,,,,,,,,,,,"Figures for calculating",,
,,,,,,,,,,,"highest and lowest capacity:",,
,,,,,,"Custody population",,,,,,,
,,"      Type of capacity measure",,,,"as a percent of -      ",,,,,"Custody",,"Highest=highest number of rated, operational,"
"Region ",,,"Opera-",,,"Highest ",,"Lowest ",,,"covered by",,"              or design capacities/custody covered"
"and jurisdiction     ",,"Rated    ","tional    ","Design          ",,"capacity/a       ",,"capacity/a           ","     ",,"capacity",,"              by capacity"
,"    ",,,,,,,,,,,,"Lowest=lowest number of rated, operational, "
"Federal",,95374,"...","...",,131,"%",131,"%",,124540,,"              or design capacities/custody covered"
,,,,,,,,,,,,,"              by capacity"
"Northeast",,,,,,,,,,,,,
"Connecticut/b",,"...","...","...",,"...",,"...",,,"...",,
"Maine",,1428,1641,1460,,100,"%",115,"%",,1636,,
"Massachusetts",,"...","...",9162,,113,,113,,,10335,,
"New Hampshire",,2500,2286,2216,,91,,103,,,2276,,
"New Jersey",,"...","...",17122,,141,,141,,,24061,,
"New York",,62773,67412,55446,,105,,127,,,70489,,
"Pennsylvania",,25690,33180,25690,,111,,143,,,36784,,
"Rhode Island",,3717,3717,3878,,88,,92,,,3425,,
"Vermont",,1301,1361,1184,,96,,111,,,1310,,
,,,,,,,,,,,,,
"Midwest",,,,,,,,,,,,,
"Illinois",,32995,32995,28211,,137,"%",161,"%",,45281,,
"Indiana",,15383,19829,"...",,91,,117,,,17947,,
"Iowa",,6772,6772,6772,,117,,117,,,7955,,
"Kansas",,8786,"...","...",,95,,95,,,8352,,
"Michigan",,"...",48974,"...",,97,,97,,,47269,,
"Minnesota",,6321,6321,6321,,96,,96,,,6053,,
"Missouri",,"...",28498,"...",,96,,96,,,27323,,
"Nebraska",,"...",2963,2371,,129,,161,,,3810,,
"North Dakota",,1005,952,1005,,92,,97,,,927,,
"Ohio",,39927,"...","...",,114,,114,,,45505,,
"South Dakota",,"...",2619,"...",,97,,97,,,2547,,
"Wisconsin",,"...",11739,"...",,131,,131,,,15394,,
,,,,,,,,,,,,,
"South",,,,,,,,,,,,,
"Alabama",,"...",22806,22806,,101,"%",101,"%",,23040,,
"Arkansas/c",,10576,10576,10576,,105,,105,,,11143,,
"Delaware",,"...",4206,3192,,156,,206,,,6572,,
"District of Columbia",,4586,4586,"...",,83,,83,,,3785,,
"Florida",,83026,75842,56101,,81,,120,,,67407,,
"Georgia",,"...",45156,"...",,90,,90,,,40486,,
"Kentucky",,11445,11196,"...",,96,,99,,,11033,,
"Louisiana",,19448,19701,"...",,99,,100,,,19448,,
"Maryland",,"...",23659,"...",,99,,99,,,23454,,
"Mississippi/c",,"...",18027,"...",,100,,100,,,18012,,
"North Carolina",,29107,"...",29107,,107,,107,,,31198,,
"Oklahoma/c",,"...",23150,"...",,95,,95,,,21937,,
"South Carolina",,"...",23512,22229,,89,,94,,,20877,,
"Tennessee/c",,17958,17555,"...",,95,,97,,,16993,,
"Texas/c,d",,161736,158501,161736,,96,,98,,,155326,,
"Virginia",,32166,"...","...",,91,,91,,,29173,,
"West Virginia",,3123,3253,3123,,94,,98,,,3060,,
,,,,,,,,,,,,,
"West",,,,,,,,,,,,,
"Alaska",,2603,2691,2603,,102,"%",106,"%",,2757,,
"Arizona",,"...",24947,24947,,106,,106,,,26510,,
"California",,"...",154697,80467,,101,,194,,,156108,,
"Colorado",,"...",12826,11607,,98,,108,,,12556,,
"Hawaii",,"...",3406,2481,,106,,145,,,3607,,
"Idaho",,5228,5030,4454,,95,,112,,,4970,,
"Montana",,"...",1400,896,,112,,175,,,1571,,
"Nevada/c",,10599,"...",8292,,91,,117,,,9693,,
"New Mexico/c",,"...",5736,5828,,92,,93,,,5342,,
"Oregon",,"...",10132,"...",,100,,100,,,10132,,
"Utah",,"...",4637,4881,,86,,91,,,4203,,
"Washington",,9466,13562,13562,,110,,158,,,14920,,
"Wyoming                                                                                ",,1314,1303,1251,"       ",96,,101,,,1267,,
"             ",,"                ","         ","            ","         ","             ","        ","            ","       ","             ","          ",,
" ... Data not available.",,,,,,,,,,,,,
" -- Not calculated. (See Jurisdiction notes.)",,,,,,,,,,,,,
"a/Population counts are based on the number of inmates held in facilities operated by the ",,,,,,,,,,,,,
"jurisdiction. Excludes inmates held in local jails, in other States, or in private facilities.",,,,,,,,,,,,,
"b/Connecticut no longer reports capacity because of a law passed in 1995.",,,,,,,,,,,,,
"c/Includes capacity of private and contract facilities and inmates housed in them. ",,,,,,,,,,,,,
"d/Excludes capacity of county facilities and inmates housed in them. ",,,,,,,,,,,,,
