Bureau of Justice Statistics,,,,,,,,,,,,,,,
Filename: p18t04.csv,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2017 and 2018",,,,,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018",,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and sex, 2017 and 2018",,,,,,,,,,,,,,,
,,2017,,,,2018,,,,"Percent change, 2017-2018",,,,,
State/federal,,Total,Male,Female,,Total,Male,Female,,Total,,Male,,Female,
,U.S. total,"1,439,877","1,334,828","105,049",,"1,414,162","1,309,925","104,237",,-1.8,%,-1.9,%,-0.8,%
Federal/a,,"166,203","154,931","11,272",,"163,653","152,411","11,242",,-1.5,%,-1.6,%,-0.3,%
State/b,,"1,273,674","1,179,897","93,777",,"1,250,509","1,157,514","92,995",,-1.8,%,-1.9,%,-0.8,%
,Alabama,"23,724","21,968","1,756",,"20,473","19,097","1,376",,-13.7,,-13.1,,-21.6,
,Alaska/c,"1,905","1,828",77,,"1,939","1,852",87,,1.8,,1.3,,13,
,Arizona,"40,263","36,543","3,720",,"40,426","36,558","3,868",,0.4,,0,,4,
,Arkansas,"18,028","16,617","1,411",,"17,795","16,393","1,402",,-1.3,,-1.3,,-0.6,
,California,"129,920","124,127","5,793",,"127,417","121,700","5,717",,-1.9,,-2,,-1.3,
,Colorado/d,"19,824","17,925","1,899",,"20,254","18,230","2,024",,2.2,,1.7,,6.6,
,Connecticut/c,"9,626","9,142",484,,"9,008","8,526",482,,-6.4,,-6.7,,-0.4,
,Delaware/c,"4,066","3,882",184,,"3,985","3,796",189,,-2,,-2.2,,2.7,
,Florida,"98,504","91,779","6,725",,"97,538","90,812","6,726",,-1,,-1.1,,0,
,Georgia,"53,094","49,315","3,779",,"53,015","49,140","3,875",,-0.1,,-0.4,,2.5,
,Hawaii/c,"3,425","3,154",271,,"3,264","2,963",301,,-4.7,,-6.1,,11.1,
,Idaho,"7,752","6,761",991,,"7,864","6,776","1,088",,1.4,,0.2,,9.8,
,Illinois,"41,427","39,148","2,279",,"39,915","37,580","2,335",,-3.6,,-4,,2.5,
,Indiana,"26,001","23,587","2,414",,"26,847","24,282","2,565",,3.3,,2.9,,6.3,
